run_index,penalty_r,algorithm,start_x,start_y,start_z,step,x,y,z,penalty_value,feasible
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,31,0.381989,0.424951,0.422458,-0.0681601,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,32,0.382489,0.418806,0.426895,-0.0681799,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,33,0.382489,0.418806,0.426895,-0.0681799,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,34,0.382489,0.418806,0.426895,-0.0681799,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,35,0.382489,0.418806,0.426895,-0.0681799,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,36,0.386352,0.417825,0.423996,-0.0682151,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,37,0.386352,0.417825,0.423996,-0.0682151,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,38,0.386352,0.417825,0.423996,-0.0682151,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,39,0.394365,0.408399,0.424304,-0.0682255,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,40,0.397004,0.403581,0.427474,-0.0682507,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,41,0.402876,0.407318,0.417525,-0.0682897,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,42,0.402876,0.407318,0.417525,-0.0682897,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,43,0.402876,0.407318,0.417525,-0.0682897,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,44,0.402876,0.407318,0.417525,-0.0682897,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,45,0.411758,0.404516,0.412182,-0.0682903,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,46,0.411758,0.404516,0.412182,-0.0682903,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,47,0.411758,0.404516,0.412182,-0.0682903,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,48,0.406229,0.41285,0.408731,-0.0683,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,49,0.406229,0.41285,0.408731,-0.0683,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,50,0.406229,0.41285,0.408731,-0.0683,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,51,0.406229,0.41285,0.408731,-0.0683,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,52,0.409566,0.407308,0.410944,-0.0683017,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,53,0.409566,0.407308,0.410944,-0.0683017,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,54,0.409566,0.407308,0.410944,-0.0683017,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,55,0.407994,0.410821,0.409059,-0.068302,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,56,0.409902,0.409565,0.40847,-0.0683022,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,57,0.409902,0.409565,0.40847,-0.0683022,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,58,0.409376,0.408633,0.409822,-0.0683023,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,59,0.409376,0.408633,0.409822,-0.0683023,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,60,0.408773,0.41004,0.409052,-0.0683024,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,61,0.409539,0.409491,0.408854,-0.0683024,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,62,0.409539,0.409491,0.408854,-0.0683024,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,63,0.409253,0.409104,0.409502,-0.0683025,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,64,0.409253,0.409104,0.409502,-0.0683025,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,65,0.409253,0.409104,0.409502,-0.0683025,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,66,0.409347,0.409423,0.409112,-0.0683025,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,67,0.409146,0.409465,0.409267,-0.0683025,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,0,0.409213,0.409318,0.409353,-0.0659299,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,1,0.409213,0.409318,0.409353,-0.0659299,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,2,0.409213,0.409318,0.409353,-0.0659299,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,3,0.409213,0.409318,0.409353,-0.0659299,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,4,0.409213,0.409318,0.409353,-0.0659299,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,5,0.409213,0.409318,0.409353,-0.0659299,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,6,0.409213,0.409318,0.409353,-0.0659299,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,7,0.409213,0.409318,0.409353,-0.0659299,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,8,0.379699,0.411286,0.43771,-0.0660757,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,9,0.379699,0.411286,0.43771,-0.0660757,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,10,0.382988,0.395233,0.446233,-0.066804,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,11,0.386006,0.405727,0.433353,-0.0678355,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,12,0.386006,0.405727,0.433353,-0.0678355,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,13,0.386006,0.405727,0.433353,-0.0678355,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,14,0.385842,0.400841,0.438739,-0.0678415,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,15,0.385842,0.400841,0.438739,-0.0678415,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,16,0.385766,0.405488,0.435119,-0.0678595,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,17,0.388272,0.404808,0.432946,-0.0679334,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,18,0.388272,0.404808,0.432946,-0.0679334,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,19,0.388272,0.404808,0.432946,-0.0679334,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,20,0.388272,0.404808,0.432946,-0.0679334,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,21,0.386667,0.404485,0.434751,-0.0679451,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,22,0.3867,0.404396,0.434598,-0.0679482,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,23,0.3867,0.404396,0.434598,-0.0679482,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,24,0.387491,0.404508,0.433911,-0.0679485,0
